User_Id,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE,User_Satisfaction
17914,673.92,527582,351.893,41261,-3,-19.9,107685,1466,905,136709,4258,2002,0
2606,2.172,37,0,0,-7,27.4,58873,2475,1292,152668,2156,4623,0
21473,22.386,20267,0,0,-11,9.8,35710,942,4039,90970,1100,3346,0
11825,3617.853,1383189,225.367,65340,-3,-19.9,30919,5348,4987,154527,1733,5394,1
15844,62.493,20774,0,0,-4,-19.8,981,2067,2830,114023,2726,13684,1
12842,167.989,141147,0,0,-6,27,28194,2110,781,237651,2184,3700,0
11563,77.192,23931,487.21,72488,-6,27.8,61054,2680,3700,3821,3873,3274,0
6366,3.475,30,0,0,-6,24.6,97543,3791,3292,201348,3824,2265,0
4890,3499.181,1044664,1099.138,169570,-7,27,102936,1340,2261,245792,5562,6343,0
15120,389.184,220461,14.626,902,-5,-19.8,49147,7316,1875,133503,1218,5649,0
6011,235.802,86798,0,0,-3,-19.8,87079,126,765,288884,4209,14366,0
4800,2.758,21,6.35,53,-7,23.4,69520,5138,471,105108,2634,7448,1
14603,117.467,24972,107.714,13086,-5,28.8,100628,792,984,288069,2342,6475,0
15910,1097.629,319679,168.709,56100,-6,28.6,126192,6300,499,115745,495,2779,0
12859,73.599,34522,2.447,11,-3,-19.7,46334,2543,133,4200,3099,1770,1
9471,405.55,210971,332.647,51676,-5,29.8,97832,4461,1890,247524,2779,5894,0
23306,13.454,2660,10.892,2261,-3,26.8,2453,1032,3444,120296,544,4905,1
6489,320.003,149444,0,0,-7,23.2,69988,5092,1584,206121,3159,8378,0
18584,4.839,27,0,0,-4,29,57066,5070,4075,23421,826,6000,0
10185,174.998,95990,0,0,-3,-19.8,67767,5063,839,48550,4808,4280,0
2853,25.231,5690,0,0,-3,-19.8,95150,6347,1117,115131,1802,12910,0
17406,115.868,70834,0,0,-8,24.2,43265,4162,2816,228618,1825,6383,1
21125,113.734,66853,40.9,2039,-3,-19.8,86123,849,4873,150599,2264,8228,0
13119,90.448,9630,55.019,10358,-7,26,32369,2628,2928,141220,2493,459,1
22639,125.342,65432,2.42,34,-5,-19.8,49944,860,1273,228655,3414,8776,0
708,9.959,4320,4.128,31,-5,-19.8,53915,1905,4009,142612,786,705,0
16396,55.413,1644,0,0,-7,19.2,69345,254,2865,262793,1152,5973,0
22693,284.667,62226,0,0,-7,25.8,148107,1452,250,23047,1587,10002,0
21005,4.209,14,0,0,-6,27.6,31372,6190,1314,152745,4838,3504,0
18725,152.065,97764,20.115,4916,-7,28,66449,703,2053,108818,1549,5141,0
20979,29.949,5992,0,0,-6,-19.9,93267,703,1508,157645,2993,1441,1
